,event,code,prizepool,date,location,nteams
50,asus-rog-winter-2019,4350,"$14,200",Feb 1st,"Helsinki, Finland",6
51,lootbet-season-1-closed-qualifier,4390,1 spot at LOOT.BET S1,Jan 28th,Europe (Online),4
52,rog-arena-iran-2019,4396,"$10,000",Feb 1st 2019,"Tehran, Iran",4+
53,iem-sydney-2019-north-america-open-qualifier-1,4354,2 spots in Closed Qualifier,Jan 30th,North America (Online),16+
54,iem-sydney-2019-europe-open-qualifier-1,4351,2 spots in Closed Qualifier,Jan 30th,Europe (Online),16+
55,lootbet-hotshot-series-season-1-cis-closed-qualifier,4348,"$2,500 + 2 spots in main event",Jan 27th,CIS (Online),16
56,iem-katowice-2019-minor-play-in,4210,2 spots at IEM Katowice 2019,Jan 27th 2019,"Katowice, Poland",4
57,cybergamer-premier-league-championship-2018,3484,"$7,200",Jan 26th,"Auckland, New Zealand",4
58,eleague-csgo-invitational-2019,4370,"$150,000",Jan 25th,"Atlanta, Georgia, USA",4
59,indonesia-esports-games-2018,4372,"$7,200",Jan 26th 2019,"Jakarta, Indonesia",4
60,ncs-academy-gex-csgo-showcase,4389,"$3,200",Jan 26th 2019,"Washington, D.C.",16
61,geeks-gone-wild-24,4341,"$22,000",Jan 26th 2019,"Aalborg, Denmark",4+
62,americas-minor-iem-katowice-2019,4209,"$50,000 + 2 spots at IEM Katowice",Jan 22nd,"Katowice, Poland",8
63,asia-minor-iem-katowice-2019,4207,"$50,000 + 2 spots at IEM Katowice",Jan 22nd,"Katowice, Poland",8
64,pixelbet-brawl-nordic-vs-europe,4273,"$10,000",Dec 2nd 2018,Europe (Online),16
65,java-collegiate-2,4375,"$2,500",Jan 19th,"Carrollton, Texas",4+
66,ibuypower-masters-2019,4290,"$200,000",Jan 19th,"Los Angeles, California, USA",8
67,europe-minor-iem-katowice-2019,4208,"$50,000 + 2 spots at IEM Katowice",Jan 16th,"Katowice, Poland",8
68,cis-minor-iem-katowice-2019,4206,"$50,000 + 2 spots at IEM Katowice",Jan 16th,"Katowice, Poland",8
69,dell-gaming-liga-pro-season-1-1-jan-19,4345,TBA,Jan 14th,South America (Online),8
70,lootbet-hotshot-series-season-1-europe-closed-qualifier,4347,"$2,500 + 2 spots in main event",Jan 13th,Europe (Online),16
71,sp-gaming-tournament-6-finals,4322,"$1,100",Jan 13th 2019,Santiago,2
72,hunt-wave-league,4344,"$10,000",Jan 8th,Europe (Online),8
73,geeks-gone-wild-24-europe-qualifier,4369,2 spots in Geeks Gone Wild #24,Jan 10th 2019,Europe (Online),4+
74,esea-mdl-season-29-europe-relegation,4227,6 spots in MDL Season 30,Jan 8th,Europe (Online),16
75,asus-rog-jtr-community-challenge-grand-finals-2019,4342,TBA,Jan 4th,"Stockholm, Sweden",8
76,esl-premiership-winter-2018-finals,4343,"$12,700",Jan 5th 2019,"Leicester, United Kingdom",4
77,starseries-i-league-season-7-asia-qualifier,4283,1 spots at StarSeries i-League Season 7,Dec 20th,Online,16
78,wesg-2018-central-asia,4307,1 spot at WESG 2018,Dec 9th,Asia (Online),4
79,lootbet-bullet-blizzard,4339,"$5,000",Dec 20th,CIS (Online),8
80,qiwi-teamplay-season-2,4331,"$5,250",Dec 17th,CIS (Online),4
81,sp-gaming-tournament-6,4321,175$+2 spots to LAN Finals,Dec 17th,Chile (Online),4
82,esea-mdl-season-29-europe-climber-cup,4340,4 spots in MDL S29 EU Relegation,Dec 22nd,Europe (Online),11
83,wesg-2018-ukraine-finals,4268,1 spot at WESG 2018,Dec 22nd,"Kiev, Ukraine",4
84,dreamhack-invitational-mumbai,4098,"$35,000",Dec 21st,"Mumbai, India",4
85,nsg-eastern-conference-championship,4267,"$30,000",Dec 21st,"Atlantic City, New Jersey, USA",21
86,geforce-csgo-tournament-by-omen-by-hp,4335,"$12,000",Dec 21st,MENA (Online),4
87,starseries-i-league-season-7-europe-qualifier,4291,1 spot at LAN,Dec 6th,Europe (Online),20
88,esea-mdl-season-29-australia-relegation,4229,4 spots in MDL Season 30,Dec 11th,Australia (Online),8
89,winners-league-season-1,4297,"$15,000",Dec 6th,Europe (Online),16
90,wesg-2018-poland,4305,1 spot at WESG 2018,Dec 18th 2018,Poland (Online),2
91,wesg-2018-north-west-europe,4294,1 spot at WESG 2018,Dec 18th 2018,Europe (Online),2
92,galatics-xmas-cup-2018,4336,"$3,400",Dec 18th 2018,"Penafiel, Portugal",4
93,starseries-i-league-season-7-north-america-qualifier,4292,1 spot at LAN,Dec 7th,North America (Online),12
94,rivalrygg-rising-stars,4265,"$15,000",Nov 21st,Europe (Online),16
95,geforce-csgo-tournament-gcc-qualifier,4333,1 spot in GeForce CSGO Tournament,Dec 17th 2018,GCC (Online),4+
96,instafrag-premier-season-1-finals,4049,"$1,673",Dec 10th,Australia (Online),4
97,esl-brazil-premier-league-season-7,4232,5000+2 spots to LA League S3,Nov 17th,Brazil (Online),8
98,alienware-cup-2018,4332,"$2,250",Dec 16th 2018,"Moscow, Russia",4+
99,zowie-benq-goexanimo-csgo-5x5-14,4330,"$1,010",Dec 16th 2018,"Riga, Latvia",4+
100,eswc-africa-2018,4324,"$15,000",Dec 16th 2018,"Casablanca, Morocco",4
101,cgl-gamerlid-2018,4329,TBA,Dec 15th,"Santiago, Chile",4
102,esl-masters-spain-winter-2018-finals,4325,"$20,400",Dec 15th,"Las Palmas, Spain",4
103,wesg-2018-sea-finals,4235,"$15,000 + 4 spots in WESG World Finals",Dec 13th,"Kuala Lumpur, Malaysia",10
104,alienware-liga-pro-gamers-club-dec-18,4316,"$1,200",Dec 11th,South America (Online),8
105,gfinity-elite-series-australia-season-2,4037,TBA,Nov 3rd,"Sydney, Australia",6
106,noxfire-league,4183,"$10,000",Oct 21st,Europe (Online),10
107,esl-italy-vodafone-championship-winter-2018,4323,"$5,650",Dec 15th 2018,"Milan, Italy",2
108,esl-meisterschaft-winter-2018-finals,4319,"$26,300",Dec 15th 2018,"Oldenburg, Germany",4
109,esl-national-championship-cz-sk-kick-off-season,4318,"$5,650",Dec 15th 2018,Europe (Online),4
110,polish-esport-league-season-4-finals,4300,"$19,800",Dec 14th,"Gliwice, Poland",4
111,blast-pro-series-lisbon-2018,4205,"$250,000",Dec 14th,"Lisbon, Portugal",6
112,plg-grand-slam-2018,4160,"$100,000",Dec 13th,"Abu Dhabi, United Arab Emirates",16
