,matchcode,team,map,priority
284,2330941,Tricked,Cache,1
285,2330941,Valiance,Overpass,2
286,2330941,Tricked,Dust2,3
287,2330941,Valiance,Inferno,4
288,2330169,AGO,Nuke,1
289,2330169,3DMAX,Train,2
290,2330169,AGO,Inferno,3
291,2330169,3DMAX,Cache,4
292,2330940,expert,Mirage,1
293,2330940,x6tence Galaxy,Train,2
294,2330940,expert,Overpass,3
295,2330940,x6tence Galaxy,Nuke,4
296,2330939,Red Reserve,Nuke,1
297,2330939,Sprout,Overpass,2
298,2330939,Red Reserve,Train,3
299,2330939,Sprout,Cache,4
300,2330938,Vexed,Dust2,1
301,2330938,Sprout,Mirage,2
302,2330938,Vexed,Nuke,3
303,2330938,Sprout,Overpass,4
304,2330937,EURONICS,Cache,1
305,2330937,expert,Mirage,2
306,2330937,EURONICS,Inferno,3
307,2330937,expert,Overpass,4
308,2330936,HAVU,Overpass,1
309,2330936,ALTERNATE aTTaX,Nuke,2
310,2330936,HAVU,Inferno,3
311,2330936,ALTERNATE aTTaX,Dust2,4
312,2330935,Sprout,Overpass,1
313,2330935,3DMAX,Train,2
314,2330935,Sprout,Mirage,3
315,2330935,3DMAX,Nuke,4
316,2330934,ALTERNATE aTTaX,Mirage,1
317,2330934,Vexed,Dust2,2
318,2330934,ALTERNATE aTTaX,Train,3
319,2330934,Vexed,Nuke,4
320,2330730,x6tence Galaxy,Nuke,1
321,2330730,LDLC,Inferno,2
322,2330730,x6tence Galaxy,Cache,3
323,2330730,LDLC,Mirage,4
324,2330731,HAVU,Overpass,1
325,2330731,Vexed,Dust2,2
326,2330731,HAVU,Inferno,3
327,2330731,Vexed,Nuke,4
328,2330727,expert,Mirage,1
329,2330727,Red Reserve,Nuke,2
330,2330727,expert,Overpass,3
331,2330727,Red Reserve,Train,4
332,2330726,Tricked,Dust2,1
333,2330726,Sprout,Overpass,2
334,2330726,Tricked,Cache,3
335,2330726,Sprout,Train,4
336,2330725,x6tence Galaxy,Train,1
337,2330725,Valiance,Overpass,2
338,2330725,x6tence Galaxy,Nuke,3
339,2330725,Valiance,Inferno,4
340,2330724,Sprout,Overpass,1
341,2330724,expert,Mirage,2
342,2330724,Sprout,Cache,3
343,2330724,expert,Train,4
344,2330723,Vexed,Dust2,1
345,2330723,LDLC,Train,2
346,2330723,Vexed,Nuke,3
347,2330723,LDLC,Mirage,4
348,2330722,x6tence Galaxy,Train,1
349,2330722,Tricked,Inferno,2
350,2330722,x6tence Galaxy,Nuke,3
351,2330722,Tricked,Cache,4
352,2330718,AGO,Nuke,1
353,2330718,Valiance,Overpass,2
354,2330718,AGO,Dust2,3
355,2330718,Valiance,Inferno,4
356,2330717,x6tence Galaxy,Train,1
357,2330717,EURONICS,Inferno,2
358,2330717,x6tence Galaxy,Nuke,3
359,2330717,EURONICS,Overpass,4
360,2330716,HAVU,Overpass,1
361,2330716,LDLC,Train,2
362,2330716,HAVU,Nuke,3
363,2330716,LDLC,Mirage,4
364,2330715,ALTERNATE aTTaX,Nuke,1
365,2330715,Red Reserve,Inferno,2
366,2330715,ALTERNATE aTTaX,Train,3
367,2330715,Red Reserve,Cache,4
368,2330695,Tricked,Cache,1
369,2330695,AGO,Nuke,2
370,2330695,Tricked,Overpass,3
371,2330695,AGO,Train,4
372,2330694,3DMAX,Train,1
373,2330694,HAVU,Overpass,2
374,2330694,3DMAX,Nuke,3
375,2330694,HAVU,Inferno,4
376,2330693,expert,Mirage,1
377,2330693,Valiance,Inferno,2
378,2330693,expert,Dust2,3
379,2330693,Valiance,Cache,4
380,2330692,3DMAX,Overpass,1
381,2330692,Windigo,Nuke,2
382,2330692,3DMAX,Train,3
383,2330692,Windigo,Inferno,4
384,2330543,Valiance,Overpass,1
385,2330543,Windigo,Nuke,2
386,2330543,Valiance,Inferno,3
387,2330543,Windigo,Cache,4
388,2330542,AGO,Nuke,1
389,2330542,LDLC,Train,2
390,2330542,AGO,Dust2,3
391,2330542,LDLC,Overpass,4
392,2330541,Valiance,Overpass,1
393,2330541,3DMAX,Nuke,2
394,2330541,Valiance,Dust2,3
395,2330541,3DMAX,Train,4
396,2330540,expert,Mirage,1
397,2330540,HAVU,Inferno,2
398,2330540,expert,Overpass,3
399,2330540,HAVU,Cache,4
400,2330539,x6tence Galaxy,Train,1
401,2330539,Windigo,Nuke,2
402,2330539,x6tence Galaxy,Dust2,3
403,2330539,Windigo,Inferno,4
404,2330538,Vexed,Train,1
405,2330538,AGO,Nuke,2
406,2330538,Vexed,Dust2,3
407,2330538,AGO,Mirage,4
408,2330535,ALTERNATE aTTaX,Nuke,1
409,2330535,Tricked,Dust2,2
410,2330535,ALTERNATE aTTaX,Train,3
411,2330535,Tricked,Cache,4
412,2330534,HAVU,Overpass,1
413,2330534,Windigo,Nuke,2
414,2330534,HAVU,Inferno,3
415,2330534,Windigo,Cache,4
416,2330533,LDLC,Overpass,1
417,2330533,x6tence Galaxy,Cache,2
418,2330533,LDLC,Mirage,3
419,2330533,x6tence Galaxy,Dust2,4
420,2330532,Windigo,Nuke,1
421,2330532,Sprout,Overpass,2
422,2330532,Windigo,Mirage,3
423,2330532,Sprout,Train,4
424,2330514,HAVU,Inferno,1
425,2330514,Tricked,Cache,2
426,2330514,HAVU,Overpass,3
427,2330514,Tricked,Dust2,4
428,2330513,AGO,Nuke,1
429,2330513,x6tence Galaxy,Train,2
430,2330513,AGO,Inferno,3
431,2330513,x6tence Galaxy,Dust2,4
432,2330512,3DMAX,Train,1
433,2330512,Sprout,Overpass,2
434,2330512,3DMAX,Nuke,3
435,2330512,Sprout,Inferno,4
436,2330511,ALTERNATE aTTaX,Dust2,1
437,2330511,LDLC,Train,2
438,2330511,ALTERNATE aTTaX,Nuke,3
439,2330511,LDLC,Overpass,4
440,2330405,Valiance,Train,1
441,2330405,HAVU,Inferno,2
442,2330405,Valiance,Overpass,3
443,2330405,HAVU,Cache,4
444,2330404,3DMAX,Nuke,1
445,2330404,EURONICS,Inferno,2
446,2330404,3DMAX,Train,3
447,2330404,EURONICS,Cache,4
448,2330422,HAVU,Inferno,1
449,2330422,AGO,Nuke,2
450,2330422,HAVU,Overpass,3
451,2330422,AGO,Dust2,4
452,2330421,Windigo,Nuke,1
453,2330421,EURONICS,Inferno,2
454,2330421,Windigo,Mirage,3
455,2330421,EURONICS,Train,4
456,2330403,LDLC,Mirage,1
457,2330403,Valiance,Overpass,2
458,2330403,LDLC,Nuke,3
459,2330403,Valiance,Dust2,4
460,2330402,Sprout,Overpass,1
461,2330402,Vexed,Dust2,2
462,2330402,Sprout,Mirage,3
463,2330402,Vexed,Nuke,4
464,2330420,LDLC,Train,1
465,2330420,Windigo,Nuke,2
466,2330420,LDLC,Inferno,3
467,2330420,Windigo,Dust2,4
468,2330401,Valiance,Overpass,1
469,2330401,x6tence Galaxy,Train,2
470,2330401,Valiance,Inferno,3
471,2330401,x6tence Galaxy,Cache,4
472,2330400,EURONICS,Cache,1
473,2330400,Red Reserve,Nuke,2
474,2330400,EURONICS,Inferno,3
475,2330400,Red Reserve,Train,4
476,2330015,Vexed,Dust2,1
477,2330015,Windigo,Mirage,2
