,matchcode,team,map,priority
455,2330785,Epsilon,Mirage,4
456,2330620,HAVU,Dust2,3
457,2330620,unknown,Nuke,4
458,2330619,3DMAX,Inferno,3
459,2330619,ALTERNATE aTTaX,Cache,4
460,2330618,NoChance,Inferno,3
461,2330618,Windigo,Overpass,4
462,2330617,Epsilon,Inferno,3
463,2330617,AGO,Train,4
464,2330719,Tricked,Overpass,3
465,2330719,pro100,Mirage,4
466,2330720,x6tence Galaxy,Mirage,3
467,2330720,Giants,Dust2,4
468,2330700,ex-Fragsters,Mirage,3
469,2330700,Giants,Nuke,4
470,2330701,forZe,Mirage,3
471,2330701,Tricked,Train,4
472,2330697,Unique,Mirage,3
473,2330697,x6tence Galaxy,Cache,4
474,2330691,Syman,Mirage,3
475,2330691,pro100,Cache,4
476,2330616,ex-Fragsters,Dust2,3
477,2330616,x6tence Galaxy,Inferno,4
478,2330615,Tricked,Inferno,3
479,2330615,Syman,Mirage,4
480,2330613,Giants,Nuke,3
481,2330613,Unique,Mirage,4
482,2330771,eUnited,Inferno,3
483,2330771,Swole Patrol,Train,4
484,2330771,eUnited,Nuke,5
485,2330771,Swole Patrol,Cache,6
486,2330770,eUnited,Cache,3
487,2330770,Ghost,Overpass,4
488,2330769,Luminosity,Overpass,3
489,2330769,Ghost,Train,4
490,2330768,Swole Patrol,Dust2,3
491,2330768,eUnited,Inferno,4
492,2330773,Luminosity,Mirage,3
493,2330773,compLexity,Cache,4
494,2330767,Envy,Dust2,3
495,2330767,Ghost,Inferno,4
496,2330774,Win Scrims Not Matches,Dust2,3
497,2330774,Envy,Mirage,4
498,2330772,Swole Patrol,Cache,3
499,2330772,compLexity,Inferno,4
500,2330766,Bad News Bears,Dust2,3
501,2330766,Luminosity,Cache,4
502,2330765,eUnited,Mirage,3
503,2330765,Ghost,Nuke,4
504,2330764,Win Scrims Not Matches,Dust2,3
505,2330764,compLexity,Train,4
506,2330763,Swole Patrol,Train,3
507,2330763,Envy,Mirage,4
508,2330762,eUnited,Mirage,3
509,2330762,Luminosity,Inferno,4
510,2330761,Bad News Bears,Dust2,3
511,2330761,Ghost,Train,4
512,2330760,BIG,Cache,3
513,2330760,G2,Dust2,4
514,2330760,BIG,Mirage,5
515,2330760,G2,Inferno,6
516,2330759,3DMAX,Inferno,3
517,2330759,G2,Dust2,4
518,2330758,OpTic,Nuke,3
519,2330758,G2,Dust2,4
520,2330757,3DMAX,Inferno,3
521,2330757,BIG,Dust2,4
522,2330777,forZe,Inferno,3
523,2330777,G2,Dust2,4
524,2330756,OpTic,Mirage,3
525,2330756,HellRaisers,Overpass,4
526,2330776,Valiance,Mirage,3
527,2330776,forZe,Inferno,4
528,2330754,G2,Train,3
529,2330754,3DMAX,Inferno,4
530,2330775,HellRaisers,Mirage,3
531,2330775,BIG,Dust2,4
532,2330752,forZe,Mirage,3
533,2330752,HellRaisers,Overpass,4
534,2330753,Valiance,Mirage,3
535,2330753,BIG,Dust2,4
536,2330750,3DMAX,Train,3
537,2330750,North,Dust2,4
538,2330751,G2,Dust2,3
539,2330751,OpTic,Inferno,4
540,2330652,Natus Vincere,Dust2,3
541,2330652,North,Nuke,4
542,2330651,Natus Vincere,Train,3
543,2330651,Heroic,Mirage,4
544,2330650,Natus Vincere,Overpass,3
545,2330650,AVANGAR,Dust2,4
546,2330649,North,Mirage,3
547,2330649,Heroic,Nuke,4
548,2330646,North,Mirage,3
