,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
2881,2327613,Mirage,eUnited,Liquid,7,16,3375,1,19th of October 2018,1
2882,2327612,Nuke,NRG,Envy,16,3,3375,1,19th of October 2018,1
2883,2327610,Inferno,Renegades,Liquid,16,14,3375,1,19th of October 2018,1
2884,2327611,Inferno,Ghost,Rogue,16,7,3375,0,19th of October 2018,1
2885,2327608,Cache,Liquid,Renegades,16,14,3375,1,19th of October 2018,1
2886,2327609,Nuke,Rogue,Ghost,5,16,3375,0,19th of October 2018,1
2887,2327606,Nuke,Rogue,NRG,9,16,3375,1,18th of October 2018,1
2888,2327604,Inferno,NRG,Rogue,22,19,3375,1,18th of October 2018,1
2889,2327607,Mirage,eUnited,MIBR,16,14,3375,1,18th of October 2018,1
2890,2327605,Train,MIBR,eUnited,16,13,3375,1,18th of October 2018,1
2891,2327602,Cache,Renegades,Ghost,17,19,3375,1,18th of October 2018,1
2892,2327603,Mirage,INTZ,NRG,5,16,3375,1,18th of October 2018,1
2893,2327600,Train,Ghost,Renegades,19,17,3375,1,18th of October 2018,1
2894,2327601,Inferno,NRG,INTZ,16,13,3375,1,18th of October 2018,1
2895,2327598,Mirage,Envy,compLexity,6,16,3375,1,18th of October 2018,1
2896,2327599,Inferno,Luminosity,Renegades,12,16,3375,0,18th of October 2018,1
2897,2327596,Cache,compLexity,Envy,14,16,3375,1,18th of October 2018,1
2898,2327597,Dust2,Renegades,Luminosity,16,3,3375,0,18th of October 2018,1
2899,2327594,Dust2,INTZ,Liquid,14,16,3375,1,17th of October 2018,1
2900,2327595,Cache,Cloud9,compLexity,10,16,3375,1,17th of October 2018,1
2901,2327593,Inferno,compLexity,Cloud9,8,16,3375,1,17th of October 2018,1
2902,2327592,Inferno,Liquid,INTZ,16,6,3375,1,17th of October 2018,1
2903,2327591,Inferno,Ghost,Envy,16,9,3375,0,17th of October 2018,1
2904,2327590,Mirage,eUnited,NRG,9,16,3375,1,17th of October 2018,1
2905,2327588,Overpass,NRG,eUnited,16,8,3375,1,17th of October 2018,1
2906,2327589,Dust2,Envy,Ghost,12,16,3375,0,17th of October 2018,1
2907,2327586,Mirage,Liquid,NRG,15,19,3375,3,17th of October 2018,1
2908,2327587,Train,INTZ,Luminosity,16,12,3375,0,17th of October 2018,1
2909,2327584,Inferno,NRG,Liquid,14,16,3375,3,17th of October 2018,1
2910,2327585,Mirage,Luminosity,INTZ,10,16,3375,0,17th of October 2018,1
2911,2327199,Cache,Rogue,Cloud9,12,16,3375,0,6th of October 2018,1
2912,2327198,Inferno,Cloud9,Rogue,16,9,3375,0,6th of October 2018,1
2913,2327197,Inferno,MIBR,INTZ,16,4,3375,1,6th of October 2018,1
2914,2327196,Dust2,INTZ,MIBR,15,19,3375,1,6th of October 2018,1
2915,2327195,Cache,Liquid,Envy,16,7,3375,1,6th of October 2018,1
2916,2327194,Inferno,Envy,Liquid,6,16,3375,1,6th of October 2018,1
2917,2327192,Dust2,Luminosity,Liquid,16,10,3375,1,5th of October 2018,1
2918,2327191,Cache,Liquid,Luminosity,16,8,3375,1,5th of October 2018,1
2919,2327190,Train,Ghost,eUnited,16,10,3375,0,5th of October 2018,1
2920,2327189,Inferno,eUnited,Ghost,16,14,3375,0,5th of October 2018,1
2921,2327188,Cache,MIBR,Cloud9,16,8,3375,1,5th of October 2018,1
2922,2327187,Inferno,Cloud9,MIBR,9,16,3375,1,5th of October 2018,1
2923,2327185,Mirage,Renegades,Rogue,16,10,3375,0,4th of October 2018,1
2924,2327186,Mirage,eUnited,Cloud9,9,16,3375,0,4th of October 2018,1
2925,2327181,Dust2,Rogue,Renegades,11,16,3375,0,4th of October 2018,1
2926,2327182,Overpass,Cloud9,eUnited,6,16,3375,0,4th of October 2018,1
2927,2327180,Cache,compLexity,NRG,16,12,3375,2,4th of October 2018,1
2928,2327178,Mirage,MIBR,Luminosity,16,8,3375,1,4th of October 2018,1
2929,2327177,Nuke,NRG,compLexity,16,13,3375,2,4th of October 2018,1
2930,2327176,Overpass,Luminosity,MIBR,10,16,3375,1,4th of October 2018,1
2931,2327174,Mirage,Ghost,NRG,16,14,3375,1,4th of October 2018,1
2932,2327175,Mirage,compLexity,Renegades,12,16,3375,1,4th of October 2018,1
2933,2327171,Dust2,Renegades,compLexity,22,19,3375,1,4th of October 2018,1
2934,2327170,Inferno,NRG,Ghost,12,16,3375,1,4th of October 2018,1
2935,2327168,Mirage,Ghost,MIBR,16,14,3375,1,3rd of October 2018,1
2936,2327167,Cache,MIBR,Ghost,6,16,3375,1,3rd of October 2018,1
2937,2327166,Dust2,Rogue,Luminosity,16,5,3375,0,3rd of October 2018,1
2938,2327165,Inferno,Luminosity,Rogue,5,16,3375,0,3rd of October 2018,1
2939,2327164,Mirage,Renegades,eUnited,16,7,3375,0,3rd of October 2018,1
2940,2327163,Inferno,eUnited,Renegades,3,16,3375,0,3rd of October 2018,1
2941,2328115,Inferno,Natus Vincere,BIG,17,19,3374,3,14th of November 2018,1
2942,2328124,Mirage,NiP,mousesports,16,14,3374,3,14th of November 2018,1
2943,2328127,Inferno,HellRaisers,G2,16,5,3374,2,14th of November 2018,1
2944,2328122,Overpass,Astralis,AGO,10,16,3374,1,14th of November 2018,1
2945,2328125,Train,North,Windigo,5,16,3374,1,14th of November 2018,1
2946,2328123,Mirage,fnatic,ex-Space Soldiers,16,4,3374,1,14th of November 2018,1
2947,2328126,Train,FaZe,Heroic,6,16,3374,2,14th of November 2018,1
2948,2328117,Inferno,ex-Space Soldiers,fnatic,16,19,3374,1,14th of November 2018,1
2949,2328121,Cache,G2,HellRaisers,18,22,3374,2,14th of November 2018,1
2950,2328118,Nuke,mousesports,NiP,16,14,3374,3,14th of November 2018,1
2951,2328116,Cache,AGO,Astralis,11,16,3374,1,14th of November 2018,1
2952,2328119,Cache,Windigo,North,7,16,3374,1,14th of November 2018,1
2953,2328114,Cache,BIG,Natus Vincere,16,5,3374,3,14th of November 2018,1
2954,2328120,Mirage,Heroic,FaZe,16,3,3374,2,14th of November 2018,1
2955,2328112,Mirage,Windigo,NiP,11,16,3374,1,13th of November 2018,1
2956,2328113,Dust2,G2,AGO,16,4,3374,1,13th of November 2018,1
2957,2328110,Overpass,NiP,Windigo,11,16,3374,1,13th of November 2018,1
2958,2328111,Overpass,AGO,G2,6,16,3374,1,13th of November 2018,1
2959,2328108,Dust2,HellRaisers,Windigo,1,16,3374,1,13th of November 2018,1
2960,2328109,Mirage,Heroic,ex-Space Soldiers,16,10,3374,1,13th of November 2018,1
2961,2328106,Mirage,Windigo,HellRaisers,19,15,3374,1,13th of November 2018,1
2962,2328107,Dust2,ex-Space Soldiers,Heroic,16,12,3374,1,13th of November 2018,1
2963,2328105,Mirage,Heroic,HellRaisers,14,16,3374,2,13th of November 2018,1
2964,2328104,Dust2,ex-Space Soldiers,AGO,10,16,3374,0,13th of November 2018,1
2965,2328103,Inferno,HellRaisers,Heroic,14,16,3374,2,13th of November 2018,1
2966,2328102,Train,AGO,ex-Space Soldiers,6,16,3374,0,13th of November 2018,1
2967,2328101,Dust2,AGO,HellRaisers,16,13,3374,1,1st of November 2018,1
2968,2328100,Cache,Windigo,mousesports,16,14,3374,1,1st of November 2018,1
2969,2328099,Inferno,HellRaisers,AGO,28,24,3374,1,1st of November 2018,1
2970,2328098,Inferno,mousesports,Windigo,13,16,3374,1,1st of November 2018,1
2971,2328096,Inferno,HellRaisers,ex-Space Soldiers,16,10,3374,1,1st of November 2018,1
2972,2328097,Train,AGO,fnatic,11,16,3374,1,1st of November 2018,1
2973,2328094,Dust2,ex-Space Soldiers,HellRaisers,9,16,3374,1,1st of November 2018,1
2974,2328095,Mirage,fnatic,AGO,8,16,3374,1,1st of November 2018,1
2975,2328092,Train,mousesports,fnatic,16,5,3374,1,1st of November 2018,1
2976,2328093,Dust2,ex-Space Soldiers,Windigo,16,14,3374,0,1st of November 2018,1
2977,2328090,Inferno,fnatic,mousesports,16,13,3374,1,1st of November 2018,1
2978,2328091,Mirage,Windigo,ex-Space Soldiers,8,16,3374,0,1st of November 2018,1
2979,2328088,Overpass,Astralis,North,16,13,3374,3,31st of October 2018,1
2980,2328089,Train,fnatic,Windigo,14,16,3374,0,31st of October 2018,1
2981,2328086,Inferno,North,Astralis,19,17,3374,3,31st of October 2018,1
2982,2328087,Mirage,Windigo,fnatic,16,10,3374,0,31st of October 2018,1
2983,2328084,Overpass,FaZe,NiP,11,16,3374,3,31st of October 2018,1
2984,2328085,Inferno,AGO,mousesports,16,10,3374,1,31st of October 2018,1
2985,2328082,Mirage,NiP,FaZe,16,11,3374,3,31st of October 2018,1
2986,2328083,Cache,mousesports,AGO,16,4,3374,1,31st of October 2018,1
2987,2328080,Overpass,HellRaisers,Natus Vincere,8,16,3374,2,31st of October 2018,1
2988,2328081,Train,North,ex-Space Soldiers,16,6,3374,1,31st of October 2018,1
2989,2328078,Inferno,Natus Vincere,HellRaisers,14,16,3374,2,31st of October 2018,1
2990,2328079,Mirage,ex-Space Soldiers,North,7,16,3374,1,31st of October 2018,1
2991,2328077,Dust2,Windigo,Astralis,14,16,3374,1,30th of October 2018,1
2992,2328076,Mirage,NiP,HellRaisers,11,16,3374,2,30th of October 2018,1
2993,2328075,Overpass,Astralis,Windigo,16,13,3374,1,30th of October 2018,1
2994,2328074,Inferno,HellRaisers,NiP,7,16,3374,2,30th of October 2018,1
2995,2328072,Mirage,fnatic,NiP,16,5,3374,1,30th of October 2018,1
2996,2328073,Mirage,AGO,Natus Vincere,8,16,3374,1,30th of October 2018,1
2997,2328070,Train,NiP,fnatic,16,11,3374,1,30th of October 2018,1
2998,2328071,Train,Natus Vincere,AGO,7,16,3374,1,30th of October 2018,1
2999,2328069,Cache,HellRaisers,fnatic,16,13,3374,1,30th of October 2018,1
3000,2328068,Mirage,mousesports,North,16,6,3374,3,30th of October 2018,1
3001,2328066,Inferno,North,mousesports,16,12,3374,3,30th of October 2018,1
3002,2328067,Mirage,fnatic,HellRaisers,5,16,3374,1,30th of October 2018,1
3003,2327523,Nuke,mousesports,Heroic,16,3,3374,2,21st of October 2018,1
3004,2327524,Cache,G2,BIG,16,11,3374,2,21st of October 2018,1
3005,2327521,Train,Heroic,mousesports,13,16,3374,2,21st of October 2018,1
3006,2327522,Dust2,BIG,G2,16,6,3374,2,21st of October 2018,1
3007,2327519,Mirage,FaZe,mousesports,13,16,3374,3,21st of October 2018,1
3008,2327520,Mirage,Natus Vincere,Windigo,16,11,3374,1,21st of October 2018,1
3009,2327517,Inferno,mousesports,FaZe,13,16,3374,3,21st of October 2018,1
3010,2327518,Overpass,Windigo,Natus Vincere,8,16,3374,1,21st of October 2018,1
3011,2327515,Train,North,fnatic,9,16,3374,1,21st of October 2018,1
3012,2327516,Train,Heroic,Natus Vincere,6,16,3374,2,21st of October 2018,1
3013,2327513,Dust2,fnatic,North,11,16,3374,1,21st of October 2018,1
3014,2327514,Dust2,Natus Vincere,Heroic,16,9,3374,2,21st of October 2018,1
3015,2327512,Train,Heroic,BIG,10,16,3374,2,20th of October 2018,1
3016,2327510,Dust2,BIG,Heroic,11,16,3374,2,20th of October 2018,1
3017,2327511,Inferno,G2,Astralis,2,16,3374,2,20th of October 2018,1
3018,2327509,Overpass,Astralis,G2,16,3,3374,2,20th of October 2018,1
