,matchcode,team,map
333,2327193,Atlants,Dust2
334,2327193,pro100,Mirage
335,2327162,forZe,Inferno
336,2327162,Spirit,Nuke
337,2326859,Kinguin,Train
338,2326859,Heroic,Mirage
339,2327067,Tricked,Nuke
340,2327067,Imperial,Mirage
341,2327105,1337HUANIA,Cache
342,2327105,Atlants,Nuke
343,2327077,5balls,Overpass
344,2327077,1337HUANIA,Dust2
345,2327028,ExidiuM,Inferno
346,2327028,Goodfellas,Cache
347,2326858,Kinguin,Cache
348,2326858,Fragsters,Train
349,2327078,DreamEaters,Overpass
350,2327078,Atlants,Dust2
351,2326857,AGO,Mirage
352,2326857,Heroic,Dust2
353,2327027,ExidiuM,Train
354,2327027,XDM,Cache
355,2327089,Paradox,Cache
356,2327089,Taboo,Mirage
357,2326881,SCARZ Absolute,Mirage
358,2326881,Ignis,Train
359,2327026,Goodfellas,Overpass
360,2327026,HIT AND RUN,Cache
361,2327088,Ground Zero,Mirage
362,2327088,seadoggs,Cache
363,2326856,AGO,Dust2
364,2326856,Red Reserve,Overpass
365,2326893,Gambit,Nuke
366,2326893,Liquid,Inferno
367,2326763,MIBR,Train
368,2326763,Astralis,Overpass
369,2326855,Kinguin,Overpass
370,2326855,PACT,Train
371,2326892,NRG,Inferno
372,2326892,mousesports,Nuke
373,2327036,PRIDE,Overpass
374,2327036,WINside,Train
375,2327068,Vyalie Pitoni,Dust2
376,2327068,forZe,Overpass
377,2326854,x-kom,Mirage
378,2326854,AGO,Dust2
379,2326853,Kinguin,Nuke
380,2326853,Sprout,Mirage
381,2326880,Ignis,Inferno
382,2326880,DWFN,Overpass
383,2327059,QuestionMark,Cache
384,2327059,Revolution,Mirage
385,2326879,RIG,Nuke
386,2326879,SCARZ Absolute,Mirage
387,2327057,Revolution,Mirage
388,2327057,Polar Bears,Cache
389,2327058,QuestionMark,Mirage
390,2327058,24BHB,Cache
391,2327063,Vault,Train
392,2327063,Niknexus,Mirage
393,2327065,DETONA,Mirage
394,2327065,W7M,Overpass
395,2326681,Wild,Inferno
396,2326681,DETONA,Cache
397,2327037,Winstrike,Inferno
398,2327037,Vyalie Pitoni,Cache
399,2326891,G2,Cache
400,2326891,NRG,Overpass
401,2326985,LDLC,Nuke
402,2326985,Valiance,Mirage
403,2326890,Gambit,Nuke
404,2326890,Natus Vincere,Inferno
405,2327035,Izako Boars,Overpass
406,2327035,Monolith,Dust2
407,2327025,Obsidium,Inferno
408,2327025,Dynasty,Nuke
409,2327025,Obsidium,Overpass
410,2327025,Dynasty,Dust2
411,2327039,FURIA Inagame,Inferno
412,2327039,Wild,Dust2
413,2327038,W7M,Train
414,2327038,DETONA,Dust2
415,2327004,Smoke Criminals,Nuke
416,2327004,Sharks,Cache
417,2326889,G2,Cache
418,2326889,Liquid,Inferno
419,2327012,Tempo Storm,Mirage
