,team,teamcode,eventcode,placement
200,gameplaydna,6322,2888,1-4th
201,x6tence,4468,2888,5-8th
202,zoctai,4992,2888,5-8th
203,hop,7615,2888,5-8th
204,ux,6154,2888,5-8th
205,rctic,4682,2888,9-12th
206,ha-masse,7472,2888,9-12th
207,reason,4822,2888,9-12th
208,ftw,7959,2888,9-12th
209,venko,7178,2888,13-16th
210,ttfu,7864,2888,13-16th
211,pugstars,7957,2888,13-16th
212,wisewizards-academy,7960,2888,13-16th
213,freeibp,7952,2887,1st
214,vinkelparty,7471,2887,2nd
215,plebverkstad,7953,2887,3-4th
216,tiltcentralen,7954,2887,3-4th
217,teamone,6947,2877,1st
218,keyd-stars,6033,2877,2nd
219,tshow,6767,2877,3-4th
220,black-dragons,7081,2877,3-4th
221,progaming,6771,2877,5-8th
222,merciless,7614,2877,5-8th
223,hookahlike,7831,2877,5-8th
224,glacon,7936,2877,5-8th
225,tyloo,4863,2873,1st
226,eclipse,7892,2873,2nd
227,new4,4865,2873,3rd
228,tot,7932,2873,4th
229,space-soldiers,5929,2777,1st
230,red-reserve,7613,2777,2nd
231,kinguin,6134,2777,3-4th
232,gatekeepers,7454,2777,3-4th
233,penta,5395,2777,5-8th
234,fnatic-academy,7169,2777,5-8th
235,outlaws,7397,2777,5-8th
236,imperial,7701,2777,5-8th
237,vici,7606,2882,1st
238,uya,7716,2882,2nd
239,recca,7344,2882,3rd
240,7642,7576,2882,4th
241,crowns,7168,2885,1st
242,popcornplokker,7908,2885,2nd
243,u4x,7950,2885,3rd
244,pgb,7949,2885,4th
245,binary-dragons,6669,2834,1st
246,forcebuy,7732,2834,2nd
247,squared,7669,2834,3-4th
248,fireplay,7951,2834,3-4th
249,extatus,6745,2874,1st
250,spirit-academy,7900,2874,2nd
251,evolution,5946,2874,3-4th
252,wasd,7668,2874,3-4th
253,x6tence,4468,2874,5-8th
254,zarlans,7182,2874,5-8th
255,impossible,7835,2874,5-8th
256,unlucky,7896,2874,5-8th
257,north-academy,7713,2878,1st
258,fragsters,6855,2878,2nd
259,ajukreizi,7919,2878,3-4th
260,competitive,7937,2878,3-4th
261,midlertidig,5061,2878,5-6th
262,eav,7938,2878,5-6th
263,alpha,6807,2878,7-8th
264,inthem1x,7859,2878,7-8th
265,lgd,6899,2861,1-8th
266,five,6908,2861,1-8th
267,sp,7894,2861,1-8th
268,tot,7932,2861,1-8th
269,ae,7371,2861,1-8th
270,gg,7942,2861,1-8th
271,rte,7480,2861,1-8th
272,lynx,7526,2861,1-8th
273,efuture,6635,2861,9-16th
274,wingsv,7527,2861,9-16th
275,hegemonyperson,7528,2861,9-16th
276,ehome,7024,2861,9-16th
277,ngse,7312,2861,9-16th
278,elapse,7941,2861,9-16th
279,ef,7943,2861,9-16th
280,t5,7945,2861,9-16th
281,red-reserve,7613,2871,1-2nd
282,north-academy,7713,2871,1-2nd
283,fnatic-academy,7169,2871,3-4th
284,ajukreizi,7919,2871,3-4th
285,zoctai,4992,2871,5-8th
286,igamecom,7331,2871,5-8th
287,heliumsgrabbar,7877,2871,5-8th
288,kungar,7911,2871,5-8th
289,singularity,6978,2813,1st
290,outlaws,7397,2813,2nd
291,penta,5395,2813,3rd
292,red-reserve,7613,2813,4th
293,tricked,4602,2813,5-6th
294,ldlc,4674,2813,5-6th
295,epsilon,4688,2813,7-8th
296,kinguin,6134,2813,7-8th
297,atleterna,7933,2875,1st
298,gott-blandat,7935,2875,2nd
299,cai,4806,2875,3-4th
300,pansarvagn,7934,2875,3-4th
301,singularity,6978,2863,1st
302,team123,6758,2863,2nd
303,pride,6896,2863,3-4th
304,red-reserve,7613,2863,3-4th
305,epsilon,4688,2863,5-8th
306,greyface,5399,2863,5-8th
307,north-academy,7713,2863,5-8th
308,ajukreizi,7919,2863,5-8th
309,gamerz-blue,7930,2870,1st
310,gamerz-red,7931,2870,2nd
311,aesthetic,7927,2869,1st
312,asd123,7926,2869,2nd
313,chupakabras,7925,2869,3-4th
314,online-pro,7928,2869,3-4th
315,clg,5974,2865,1st
316,renegades,6211,2865,2nd
317,ownage,5670,2865,3-4th
318,luminosity,6290,2865,3-4th
319,mousespaz,4645,2865,5-8th
320,complexity,5005,2865,5-8th
321,nrg,6673,2865,5-8th
322,misfits,7557,2865,5-8th
323,heroic,7175,2792,1-2nd
324,space-soldiers,5929,2792,1-2nd
325,dignitas,5422,2792,3-4th
326,godsent,6902,2792,3-4th
327,tricked,4602,2792,5-8th
328,big,7532,2792,5-8th
329,tundra,7929,2792,5-8th
330,envy,5991,2792,5-8th
331,k29,4908,2792,9-12th
332,outlaws,7397,2792,9-12th
333,flipsid3,5988,2792,9-12th
334,kinguin,6134,2792,9-12th
335,avant,5293,2802,1st
336,legacy,6468,2802,2nd
337,athletico,5680,2802,3rd
338,funky-monkeys,7218,2802,4th
339,mousespaz,4645,2864,1-4th
340,complexity,5005,2864,1-4th
341,ownage,5670,2864,1-4th
