,team,teamcode,eventcode,placement
60,euronics,6343,3320,13-16th
61,space-jam,7017,3320,13-16th
62,swole-patrol,7726,3405,1-4th
63,blackwoodproductions,7783,3405,1-4th
64,bushido-boyz,7885,3405,1-4th
65,the-entourage,8623,3405,1-4th
66,hyper,7289,3405,5-8th
67,iceberg,8398,3405,5-8th
68,nemesis,8634,3405,5-8th
69,hooked,8635,3405,5-8th
70,forge,8444,3415,1st
71,outplayed,7981,3415,2nd
72,mkers,8447,3415,3rd
73,waterdogs,7980,3415,4th
74,skinlordz,7511,3414,1st
75,evilnine,8628,3414,2nd
76,godz,8629,3414,3rd
77,mineski,6715,3417,1st
78,arkangel,8633,3417,2nd
79,tnc,5257,3417,3-4th
80,imperium,7837,3417,3-4th
81,boot-ds,7567,3416,1st
82,onliners,8632,3416,2nd
83,operationrekt,8630,3416,3-4th
84,donut,8631,3416,3-4th
85,sk,6137,3072,1st
86,faze,6667,3072,2nd
87,fnatic,4991,3072,3-4th
88,misfits,7557,3072,3-4th
89,hellraisers,5310,3072,5-6th
90,optic,6615,3072,5-6th
91,nrg,6673,3072,7-8th
92,luminosity,6290,3072,7-8th
93,nip,4411,3072,9-10th
94,astralis,6665,3072,9-10th
95,north,7533,3072,11-12th
96,liquid,5973,3072,11-12th
97,avangar,8120,3400,1st
98,pro100,7898,3400,2nd
99,epg,7489,3400,3-4th
100,nemiga,7969,3400,3-4th
101,quantum-bellator-fire,7367,3400,5-8th
102,elquvet,7427,3400,5-8th
103,nova,7787,3400,5-8th
104,cispro,8604,3400,5-8th
105,seed,8452,3384,1st
106,pro100,7898,3384,2nd
107,goodjob,7820,3384,3rd
108,spraynpray,7264,3384,4th
109,epsilon,4688,3384,5-6th
110,bpro,6762,3384,5-6th
111,spirit,7020,3384,7-8th
112,epg,7489,3384,7-8th
113,spirit-academy,7900,3384,9-10th
114,havu,7865,3384,9-10th
115,recca,7344,3413,1st
116,xcn,8626,3413,2nd
117,boom,7733,3413,3-4th
118,bigetron,8627,3413,3-4th
119,1337huania,7552,3410,1st
120,wasd,7668,3410,2nd
121,chaos,7197,3410,3-4th
122,baltic-elite,8624,3410,3-4th
123,corvidae,6922,3217,1st
124,ssu,7596,3217,2nd
125,masterminds,7967,3217,3-4th
126,lucky7,8588,3217,3-4th
127,ground-zero,8536,3217,5-6th
128,paradox-supremacy,8577,3217,5-6th
129,dedset,8611,3217,7-8th
130,oracle-empyre,8612,3217,7-8th
131,gambit,6651,3283,1st
132,tyloo,4863,3283,2nd
133,vega-squadron,6094,3283,3-4th
134,grayhound,8008,3283,3-4th
135,splyce,6301,3283,5-6th
136,5power,7092,3283,5-6th
137,envyus-academy,7856,3201,1st
138,epsilon,4688,3201,2nd
139,reason,5208,3201,3rd
140,endpoint,7234,3201,4th
141,method,6132,3201,5th
142,infused,4554,3201,6th
143,prophecy,8032,3201,7th
144,excel,6113,3201,8th
145,teamone,6947,3411,1st
146,furia,8297,3411,2nd
147,kings,8021,3408,1st
148,pork,8619,3408,2nd
149,athletico,5680,3408,3-4th
150,watermelon,8621,3408,3-4th
151,lucky7,8588,3408,5-7th
152,qwerty,8620,3408,5-7th
153,harlem-spartans,8622,3408,5-7th
154,parallax,7077,3406,1st
155,unleashed,8615,3406,2nd
156,grey,8614,3406,3-4th
157,bowats,8616,3406,3-4th
158,rise-nation,7924,3322,1st
159,gale-force,8181,3322,2nd
160,soar,8384,3322,3rd
161,good-people,8349,3322,4th
162,french-canadians,7616,3322,5-6th
163,lfao,8378,3322,5-6th
164,hyper,7289,3322,7-8th
165,samurai,8519,3322,7-8th
166,tempo-storm,8221,3322,9-12th
167,gorilla-core,7880,3322,9-12th
168,beacon,7961,3322,9-12th
169,ex-naventic,8562,3322,9-12th
170,settodestroyx,6171,3322,13-16th
171,glockwork,6759,3322,13-16th
172,blackwoodproductions,7783,3322,13-16th
173,porksports,8520,3322,13-16th
174,ago,8068,3228,1st
175,valiance,8481,3228,2nd
176,pride,6896,3228,3rd
177,red-reserve,7613,3228,4th
178,north-academy,7713,3228,5-6th
179,fragsters,6855,3228,5-6th
180,tricked,4602,3228,7-8th
181,team5,8392,3228,7-8th
182,extatus,6745,3228,9-12th
183,mk,6959,3228,9-12th
184,singularity,6978,3228,9-12th
185,crowns,7168,3228,9-12th
186,alternate-attax,4501,3228,13-16th
187,igamecom,7331,3228,13-16th
188,envyus-academy,7856,3228,13-16th
189,sharks,8113,3228,13-16th
190,gametv,8499,3407,1st
191,utm,7655,3407,2nd
192,entity,7348,3407,3-4th
193,goodfellas,8618,3407,3-4th
194,isurus,7653,3409,1st
195,malvinas,8121,3409,2nd
196,mans-not-hot,8543,3390,1st
197,5balls,8589,3390,2nd
198,spirit,7020,3390,3-4th
199,toxic,8490,3390,3-4th
200,spirit-academy,7900,3390,5-8th
201,vexed,8020,3390,5-8th
202,sherifi,8043,3390,5-8th
203,seal,8361,3390,5-8th
204,scarz-absolute,7962,3401,1st
205,d13,8607,3401,2nd
206,themongolz,6248,3401,3-4th
207,mogul,8551,3401,3-4th
208,gambit,6651,3402,1st
209,kyrgyzstan,6313,3402,2nd
210,tengri,7145,3402,3-4th
211,tulpar,8610,3402,3-4th
212,kinguin,6134,3379,1st
213,venatores,7253,3379,2nd
214,ago,8068,3379,3rd
215,pride,6896,3379,4th
216,windigo,8513,3372,1st
217,xpc,4982,3372,2nd
218,bpro,6762,3372,3-4th
219,invictus-aquilas,7870,3372,3-4th
220,kalashnikov-47,7062,3399,1st
221,xd1234xd,8603,3399,2nd
222,eclipse,7892,3394,1st
223,vici,7606,3394,2nd
224,tyloo,4863,3394,3rd
225,flash,7660,3394,4th
226,alternate-attax,4501,3396,1st
227,divizon,7425,3396,2nd
228,berzerk,5121,3396,3rd
229,panthers,6693,3396,4th
230,movistar-riders,7718,3395,1st
231,kpi,7339,3395,2nd
232,x6tence,4468,3395,3-4th
233,giants,4949,3395,3-4th
234,g2v,7683,3395,5th
235,gbots,5435,3395,6th
236,natus-vincere,4608,2574,1st
237,mousesports,4494,2574,2nd
238,envy,5991,2574,3-4th
239,gambit,6651,2574,3-4th
240,heroic,7175,2574,5-6th
241,big,7532,2574,5-6th
242,north-academy,7713,2574,7-8th
243,rise-nation,7924,2574,7-8th
244,chosen5,6780,3398,1st
245,iraq,8601,3398,2nd
246,rvn,5167,3398,3-4th
247,lebanon,7046,3398,3-4th
248,cloud9,5752,3391,1st
249,unemployed-for-christmas,8598,3391,2nd
250,splyce,6301,3391,3-4th
251,soar,8384,3391,3-4th
252,torqued,5906,3391,5-8th
253,ghost,7801,3391,5-8th
254,gale-force,8181,3391,5-8th
255,gx,8372,3391,5-8th
256,fire-dragoon,7421,3351,1st
257,karnal,8599,3351,2nd
258,orange,5013,3351,3rd
259,jyp,7491,3351,4th
260,virtual-genesis,8205,3351,5-6th
261,metamorphic,8320,3351,5-6th
262,anthrax,7486,3351,7-8th
263,fallout,8584,3351,7-8th
264,sharks,8113,3397,1st
265,hexagone,7463,3397,2nd
266,havu,7865,3275,1st
267,passions,7124,3275,2nd
268,alientech,5524,3371,1st
269,hexagone,7463,3371,2nd
270,sharks,8113,3371,3-4th
271,heretics,8346,3371,3-4th
272,sj,8504,3370,1st
273,red-reserve,7613,3370,2nd
274,fightclub,7823,3370,3-4th
275,pokemon-fan-club,8597,3370,3-4th
276,spirit,7020,3387,1st
277,pride,6896,3387,2nd
278,teamasd,7819,3387,3-4th
279,bynie,8591,3387,3-4th
280,izako-boars,7681,3387,5-8th
281,spirit-academy,7900,3387,5-8th
282,seal,8361,3387,5-8th
283,lang0ds,8592,3387,5-8th
284,intz,6619,3377,1st
285,isurus,7653,3377,2nd
286,teleconjundia,8050,3377,3-4th
287,ivyaert,8576,3377,3-4th
288,dai-dai,7012,3377,5-8th
289,furia,8297,3377,5-8th
290,brasil-gaming-house,8411,3377,5-8th
291,ex-kitsune,8575,3377,5-8th
292,ground-zero,8536,3388,1st
293,masterminds,7967,3388,2nd
294,corvidae,6922,3388,3-4th
295,riotous,7129,3388,3-4th
296,fire-dragoon,7421,3350,1st
297,virtual-genesis,8205,3350,2nd
298,gundek,8585,3350,3rd
299,fallout,8584,3350,4th
300,signature,6774,3349,1st
301,nxl,5258,3349,2nd
302,imperium,7837,3349,3rd
303,utm,7655,3349,4th
304,hellraisers,5310,3224,1st
305,kinguin,6134,3224,2nd
306,goodjob,7820,3224,3-4th
307,avangar,8120,3224,3-4th
308,passions,7124,3224,5-6th
309,wasd,7668,3224,5-6th
310,tricked,4602,3224,7-8th
311,eclipse,7892,3224,7-8th
312,factory-assault,8117,3378,1st
313,en9my,7852,3378,2nd
314,brk,8579,3378,3rd
315,ingame,8578,3378,4th
316,russian-forces,8483,3115,1st
317,dynasty-fe,8001,3115,2nd
318,lego,8412,3115,3rd
319,romania-fe,8573,3115,4th
320,paradoks,7777,3115,5-6th
321,chocolates-beers,8304,3115,5-6th
322,norway-fe,8472,3115,7-8th
323,best-boniatos-ever,8522,3115,7-8th
324,ukraine,5144,3114,1st
325,godsent,6902,3114,2nd
326,space-soldiers,5929,3114,3rd
327,fnatic,4991,3114,4th
328,ago,8068,3114,5-8th
329,belgium,5140,3114,5-8th
330,wololos,7080,3114,5-8th
331,envy,5991,3114,5-8th
332,russia,5138,3114,9-12th
333,limitless,8441,3114,9-12th
334,noreg,8473,3114,9-12th
335,big,7532,3114,9-12th
336,nemiga,7969,3114,13-16th
337,endpoint,7234,3114,13-16th
338,virtuspro,5378,3114,13-16th
339,resistance,7497,3114,13-16th
340,fragsters,6855,3114,17-20th
341,quantum-bellator-fire,7367,3114,17-20th
342,gameagents,6652,3114,17-20th
343,north-academy,7713,3114,17-20th
344,valiance,8481,3295,1st
345,squared,7669,3295,2nd
346,kliktech,8127,3295,3rd
347,zonic,8401,3295,4th
348,sk,6137,2998,1st
349,astralis,6665,2998,2nd
350,faze,6667,2998,3rd
351,north,7533,2998,4th
352,g2,5995,2998,5th
353,nip,4411,2998,6th
354,vega-squadron,6094,3292,1st
355,ago,8068,3292,2nd
356,tyloo,4863,3292,3rd
357,flash,7660,3292,4th
358,cloud9,5752,3060,1st
359,optic,6615,3060,2nd
360,liquid,5973,3060,3rd
361,luminosity,6290,3060,4th
362,sk,6137,3060,5th
363,nrg,6673,3060,6th
364,renegades,6211,3060,7th
365,clg,5974,3060,8th
366,ghost,7801,3060,9th
367,immortals,7010,3060,10th
368,fnatic,4991,3059,1st
369,faze,6667,3059,2nd
370,mousesports,4494,3059,3rd
371,astralis,6665,3059,4th
372,nip,4411,3059,5th
373,g2,5995,3059,6th
374,virtuspro,5378,3059,7th
375,envy,5991,3059,8th
376,heroic,7175,3059,9th
377,godsent,6902,3059,10th
378,chiefs,6010,3049,1st
379,athletico,5680,3049,2nd
380,tainted-minds,7517,3049,3-4th
381,kings,8021,3049,3-4th
382,legacy,6468,3049,5-8th
383,grayhound,8008,3049,5-8th
384,corvidae,6922,3049,5-8th
385,dark-sided,7212,3049,5-8th
386,syf,5607,3049,9th
387,sin,8321,3049,10th
388,riotous,7129,3049,11th
389,seadoggs,8435,3049,12th
390,conspiracy,8436,3049,13th
391,avant,5293,3049,14th
392,masterminds,7967,3049,15th
393,noxide,7594,3049,16th
394,funkd,7974,3049,17th
395,sublife,8568,3363,1st
396,adaptation,8342,3363,2nd
397,ambush,7674,3363,3-4th
398,main-street,7714,3363,3-4th
399,bbsp,7751,3363,5-8th
400,odense,8010,3363,5-8th
401,hs-p-lager,8286,3363,5-8th
402,vulture,8427,3363,5-8th
403,seal,8361,3367,1st
404,spirit-academy,7900,3367,2nd
405,insaneby,8402,3367,3-4th
406,mans-not-hot,8543,3367,3-4th
407,epiphany-bolt,6220,3367,5-8th
408,5frags,7251,3367,5-8th
409,ha-masse,7472,3367,5-8th
410,goodjob,7820,3367,5-8th
411,hafnet,8125,3335,1st
412,oversports,8516,3335,2nd
413,aeon,7699,3335,3rd
414,evilvice,8366,3335,4th
415,passions,7124,3276,1-2nd
416,havu,7865,3276,1-2nd
417,acapella,8425,3276,3-4th
418,toxic,8490,3276,3-4th
419,hasselsnok,8279,3276,5th
420,nyyrikki,8485,3276,6th
421,fsnus,8491,3276,7th
422,infurity,8488,3276,8th
423,lpsp,8465,3369,1st
424,aaa,5639,3369,2nd
425,red-reserve,7613,3369,3-4th
426,codewise-unicorns,8572,3369,3-4th
427,vault,6366,3368,1st
428,hafnet,8125,3368,2nd
429,elite-wolves,7314,3368,3-4th
430,jaguar,7504,3368,3-4th
431,stormborns,7721,3368,5-6th
432,madkings,8557,3368,5-6th
433,luccini,7316,3368,7-8th
434,speed,8570,3368,7-8th
435,nip,4411,2956,1st
436,faze,6667,2956,2nd
437,cloud9,5752,2956,3-4th
438,sk,6137,2956,3-4th
439,optic,6615,2956,5-6th
440,gambit,6651,2956,5-6th
441,astralis,6665,2956,7-8th
442,renegades,6211,2956,7-8th
443,envy,5991,2956,9-10th
444,g2,5995,2956,9-10th
445,liquid,5973,2956,11-12th
446,themongolz,6248,2956,11-12th
447,defusekids,7666,3352,1st
448,oserv,7687,3352,2nd
449,vanguard,8110,3352,3-4th
450,porcvac,8540,3352,3-4th
451,vici,7606,3355,1st
452,chiefs,6010,3355,2nd
453,kinguin,6134,3355,3-4th
454,ardeont-academy,8500,3355,3-4th
455,grayhound,8008,3166,1st
456,tainted-minds,7517,3166,2nd
457,kings,8021,3166,3rd
458,mvp-pk,7354,3166,4th
459,alientech,5524,3358,1st
460,hexagone,7463,3358,2nd
461,k1ck,4469,3358,3rd
462,hexagone-cubo,8561,3358,4th
463,reak,6631,3332,1st
464,set-the-rules,8569,3332,2nd
465,hafnet,8125,3332,3-4th
466,evilvice,8366,3332,3-4th
467,havu,7865,3364,1st
468,pride,6896,3364,2nd
469,seed,8452,3208,1st
470,ldlc,4674,3208,2nd
471,nemiga,7969,3208,3rd
472,singularity,6978,3208,4th
473,quantum-bellator-fire,7367,3208,5-6th
474,ex-outlaws,8347,3208,5-6th
475,bx3,4606,3208,7-8th
476,avangar,8120,3208,7-8th
477,vault,6366,3331,1st
478,hadouken,8011,3331,2nd
479,make-it-happen,7306,3331,3-4th
480,in-a-hurry,8560,3331,3-4th
481,masterminds,7967,3345,1st
482,ground-zero,8536,3345,2nd
483,corvidae,6922,3345,3-4th
484,riotous,7129,3345,3-4th
485,extatus,6745,3047,1-2nd
486,ago,8068,3047,1-2nd
487,space-soldiers,5929,3047,3rd
488,virtuspro,5378,3047,4th
489,fragsters,6855,3047,5-8th
490,sj,8504,3047,5-8th
491,aaa,5639,3047,5-8th
492,singularity,6978,3047,5-8th
493,gambit,6651,3047,9th
494,alternate-attax,4501,3047,10th
495,pride,6896,3047,11th
496,red-reserve,7613,3047,12th
497,nexus,7187,3047,13th
498,epsilon,4688,3047,14th
499,kinguin,6134,3047,15th
500,not-academy,8030,3047,16th
501,flipsid3,5988,3047,17th
502,crowns,7168,3047,18th
503,spirit,7020,3047,19th
504,seed,8452,3047,20th
505,igamecom,7331,3047,21st
506,endpoint,7234,3047,22nd
507,1337huania,7552,3047,23rd
508,chaos,7197,3047,24th
509,team5,8392,3047,25th
510,mk,6959,3047,26th
511,invictus-aquilas,7870,3047,27th
512,rise-nation,7924,3048,1-2nd
513,soar,8384,3048,1-2nd
514,gx,8372,3048,3rd
515,ghost-academy,8502,3048,4th
516,mythic,5479,3048,5-8th
517,beacon,7961,3048,5-8th
518,gale-force,8181,3048,5-8th
519,french-canadians,7616,3048,5-8th
520,subtle,7217,3048,9th
521,lfao,8378,3048,10th
522,torqued,5906,3048,11th
523,ex-morior-invictus,8523,3048,12th
524,iceberg,8398,3048,13th
525,naventic,8328,3048,14th
526,ex-denial,8476,3048,15th
527,bushido-boyz,7885,3048,16th
528,checksix,8351,3048,17th
529,muffin-lightning,7220,3048,18th
530,adaptation,5873,3048,19th
531,gorilla-core,7880,3048,20th
532,clg-academy,7878,3048,21st
533,good-people,8349,3048,22nd
534,mostly-harmless,6057,3048,23rd
535,weekend-warriors,8501,3048,24th
536,elite-wolves,7314,3330,1st
537,thunder-awaken,8559,3330,2nd
538,luccini,7316,3330,3-4th
539,katari,8558,3330,3-4th
540,heroic,7175,3122,1st
541,gambit,6651,3122,2nd
542,big,7532,3122,3rd
543,natus-vincere,4608,3122,4th
544,ago,8068,3122,5-8th
545,japaleno,7144,3122,5-8th
546,space-soldiers,5929,3122,5-8th
547,flipsid3,5988,3122,5-8th
548,tricked,4602,3122,9-12th
549,vega-squadron,6094,3122,9-12th
550,havu,7865,3122,9-12th
551,seed,8452,3122,9-12th
552,kinguin,6134,3122,13-16th
553,awtr,4804,3122,13-16th
554,hellraisers,5310,3122,13-16th
555,dignitas,5422,3122,13-16th
556,ldlc,4674,3122,17-20th
557,avangar,8120,3122,17-20th
558,godsent,6902,3122,17-20th
559,singularity,6978,3122,17-20th
560,epg,7489,3343,1st
561,pro100,7898,3343,2nd
562,venatores,7253,3343,3-4th
563,vexed,8020,3343,3-4th
564,epsilon,4688,3343,5-8th
565,ttfu,7864,3343,5-8th
566,dreameaters,8305,3343,5-8th
567,fantazeri,8459,3343,5-8th
568,vici,7606,3185,1st
569,scarz-absolute,7962,3185,2nd
570,flash,7660,3185,3rd
571,5power,7092,3185,4th
572,rte,7480,3185,5th
573,aerowolf,8207,3185,6th
574,wg,8143,3185,7th
575,themongolz,6248,3185,8th
576,wasd,7668,3311,1-2nd
577,tricked,4602,3311,1-2nd
578,kinguin,6134,3311,3-4th
579,passions,7124,3311,3-4th
580,seed,8452,3311,5-6th
581,elquvet,7427,3311,5-6th
582,alternate-attax,4501,3311,7-10th
583,epsilon,4688,3311,7-10th
584,team5,8392,3311,7-10th
585,pride,6896,3311,7-10th
586,nova,7787,3311,11-12th
587,resistance,7497,3311,11-12th
588,nu-pogodi,8552,3353,1st
589,mogul,8551,3353,2nd
590,rampage,8408,3346,1st
591,rekt,8256,3346,2nd
592,fractals,8255,3346,3rd
593,imperium,7837,3346,4th
594,rise-nation,7924,3274,1st
595,ghost,7801,3274,2nd
596,complexity,5005,3274,3-4th
597,gx,8372,3274,3-4th
598,luminosity,6290,3274,5-8th
599,rogue,7157,3274,5-8th
600,swole-patrol,7726,3274,5-8th
601,clg-green,8547,3274,5-8th
602,tempo-storm,6118,3274,9-16th
603,bushido-boyz,7885,3274,9-16th
604,splyce,6301,3274,9-16th
605,the-fundamentals,8084,3274,9-16th
606,miami-flamingos,7531,3274,9-16th
607,glockoma,8545,3274,9-16th
608,french-canadians,7616,3274,9-16th
609,the-legacy-of-jenume,8546,3274,9-16th
610,north-academy,7713,3272,1st
611,space-soldiers,5929,3272,2nd
612,ago,8068,3272,3-4th
613,mans-not-hot,8543,3272,3-4th
614,ldlc,4674,3272,5-8th
615,hellraisers,5310,3272,5-8th
616,seed,8452,3272,5-8th
617,sj,8504,3272,5-8th
618,bbsp,7751,3272,9-16th
619,aaa,5639,3272,9-16th
620,ares,8242,3272,9-16th
621,flipsid3,5988,3272,9-16th
622,royal-bandits,8263,3272,9-16th
623,vega-squadron,6094,3272,9-16th
624,kinguin,6134,3272,9-16th
625,red-reserve,7613,3272,9-16th
626,mexico,6272,3329,1st
627,kukulkan,8115,3329,2nd
628,aztek,8415,3329,3-4th
629,guat,8550,3329,3-4th
630,cloud9,5752,3165,1st
631,renegades,6211,3165,2nd
632,liquid,5973,3165,3-4th
633,optic,6615,3165,3-4th
634,nrg,6673,3165,5-6th
635,misfits,7557,3165,5-6th
636,clg,5974,3165,7-8th
637,luminosity,6290,3165,7-8th
638,toxic,8490,3344,1st
639,katjakajbentebent,8533,3344,2nd
640,deathrow,7695,3344,3-4th
641,maskinisterna,8458,3344,3-4th
642,skitlite,6263,3344,5-8th
643,loathe,8494,3344,5-8th
644,skrr-pop-pop-boom,8530,3344,5-8th
645,guccitiger,8531,3344,5-8th
646,isurus,7653,3328,1st
647,gale-force,8181,3328,2nd
648,dynasty,6630,3328,3-4th
649,keymotion,8123,3328,3-4th
650,extatus,6745,3339,1st
651,esuba,5412,3339,2nd
652,majestic-lions,6576,3339,3-4th
653,dark-tigers,7842,3339,3-4th
654,universe,7442,3339,5-6th
655,marvo,8524,3339,5-6th
656,gunrunners,4978,3339,7-8th
657,eclot,7441,3339,7-8th
658,optic,6615,2867,1st
659,sk,6137,2867,2nd
660,liquid,5973,2867,3rd
661,nrg,6673,2867,4th
662,misfits,7557,2867,5th
663,luminosity,6290,2867,6th
664,clg,5974,2867,7th
665,cloud9,5752,2867,8th
666,renegades,6211,2867,9th
667,splyce,6301,2867,10th
668,complexity,5005,2867,11th
669,immortals,7010,2867,12th
670,rogue,7157,2867,13th
671,ghost,7801,2867,14th
672,control-fe,8554,3348,1st
673,kings-fe,8553,3348,2nd
674,the-fundamentals,8084,3273,1-8th
675,gx,8372,3273,1-8th
676,miami-flamingos,7531,3273,1-8th
677,glockoma,8545,3273,1-8th
678,swole-patrol,7726,3273,1-8th
679,the-legacy-of-jenume,8546,3273,1-8th
680,clg-green,8547,3273,1-8th
681,bushido-boyz,7885,3273,1-8th
682,h00liganz,6356,3273,9-16th
683,vault,6366,3273,9-16th
684,hyper,7289,3273,9-16th
685,purge,8544,3273,9-16th
686,gorilla-core,7880,3273,9-16th
687,problematic,8548,3273,9-16th
688,velocity,8060,3273,9-16th
689,coffees-bois,8549,3273,9-16th
690,aaa,5639,3271,1-8th
691,ares,8242,3271,1-8th
692,royal-bandits,8263,3271,1-8th
693,red-reserve,7613,3271,1-8th
694,north-academy,7713,3271,1-8th
695,sj,8504,3271,1-8th
696,bbsp,7751,3271,1-8th
697,mans-not-hot,8543,3271,1-8th
698,sherifi,8043,3271,9-16th
699,bpro,6762,3271,9-16th
700,fragsters,6855,3271,9-16th
701,singularity,6978,3271,9-16th
702,seal,8361,3271,9-16th
703,valiance,8481,3271,9-16th
704,lin4evateli,8542,3271,9-16th
705,teamasd,7819,3271,9-16th
706,best-boniatos-ever,8522,3340,1st
707,ftw-fe,8525,3340,2nd
708,wololos,7080,3321,1st
709,gbots,5435,3321,2nd
710,ramboot,8508,3321,3rd
711,mad-lions,8362,3321,4th
712,bx3,4606,3347,1st
713,kingpins,8537,3347,2nd
714,fact-revolution,8078,3347,3-4th
715,acapella,8425,3347,3-4th
716,french-canadians,7616,3327,1st
717,subtle,7217,3327,2nd
718,settodestroyx,6171,3327,3-4th
719,eco-cobras,8130,3327,3-4th
720,mostly-harmless,6057,3327,5-7th
721,magnitude,8538,3327,5-7th
722,nails-money-crew,8539,3327,5-7th
723,forze,8135,3069,1st
724,nexus,7187,3069,2nd
725,mvp-pk,7354,3069,3rd
726,duttdutt,4666,3069,4th
727,havu,7865,3069,5-8th
728,chiefs,6010,3069,5-8th
729,eclipse,7892,3069,5-8th
730,uniquestars,7739,3069,5-8th
731,firenation,7334,3069,9-12th
732,forge,8444,3069,9-12th
733,berzerk,8526,3069,9-12th
734,fire-dragoon,7421,3069,9-12th
735,mith,6353,3069,13-16th
736,tpcu,8226,3069,13-16th
737,wmgc,8527,3069,13-16th
738,protea,8528,3069,13-16th
739,fnatic,4991,2866,1st
740,north,7533,2866,2nd
741,faze,6667,2866,3rd
742,astralis,6665,2866,4th
743,nip,4411,2866,5th
744,hellraisers,5310,2866,6th
745,g2,5995,2866,7th
746,envy,5991,2866,8th
747,mousesports,4494,2866,9th
748,heroic,7175,2866,10th
749,ldlc,4674,2866,11th
750,natus-vincere,4608,2866,12th
751,godsent,6902,2866,13th
752,big,7532,2866,14th
753,cloud9,5752,3326,1st
754,mythic,5479,3326,2nd
755,muffin-lightning,7220,3326,3rd
756,bushido-boyz,7885,3326,4th
757,guerrilla-tactics,7882,3326,5-7th
758,the-fundamentals,8084,3326,5-7th
759,na-rejects,8535,3326,5-7th
760,sk,6137,3325,1st
761,teamone,6947,3325,2nd
762,immortals,7010,3325,3-4th
763,bootkamp,8382,3325,3-4th
764,intz,6619,3325,5-8th
765,black-dragons,7081,3325,5-8th
766,furia,8297,3325,5-8th
767,brasil-gaming-house,8411,3325,5-8th
768,valiance,8481,3196,1st
769,kliktech,8127,3196,2nd
770,squared,7669,3196,3rd
771,zonic,8401,3196,4th
772,ripple,8290,3196,5th
773,locastic,7964,3196,6th
774,prowince,5590,3196,7th
775,resistance,7497,3196,8th
776,deathrow,7695,3341,1-4th
777,skrr-pop-pop-boom,8530,3341,1-4th
778,guccitiger,8531,3341,1-4th
779,katjakajbentebent,8533,3341,1-4th
780,heat,5810,3341,5-8th
781,mixens-farsa,8529,3341,5-8th
782,zuttt,8532,3341,5-8th
783,izquierdo-pico,8534,3341,5-8th
784,bootkamp,8382,3338,1st
785,furia,8297,3338,2nd
786,sons-of-snakes,8514,3334,1st
787,darkpassage,7018,3334,2nd
788,beyond,8262,3337,1st
789,signature,6774,3337,2nd
790,mith,6353,3337,3-4th
791,nspr,7839,3337,3-4th
792,eternal,8145,3324,1st
793,brutality,6352,3324,2nd
794,semperx,8047,3324,3rd
795,mxb,8510,3324,4th
796,shooting-monkeys,8048,3324,5-6th
797,slaughter-rage-army,8511,3324,5-6th
798,elements,7389,3324,7-8th
799,god-particles,8512,3324,7-8th
800,splyce,6301,3259,1st
801,ghost,7801,3259,2nd
802,rogue,7157,3259,3-4th
803,subtle,7217,3259,3-4th
804,liquid,5973,3252,1st
805,misfits,7557,3252,2nd
806,clg,5974,3252,3rd
807,complexity,5005,3252,4th
808,luminosity,6290,3252,5-6th
809,nrg,6673,3252,5-6th
810,teamone,6947,3252,7-8th
811,rise-nation,7924,3252,7-8th
812,space-soldiers,5929,3251,1st
813,envy,5991,3251,2nd
814,optic,6615,3251,3rd
815,ago,8068,3251,4th
816,pride,6896,3251,5-6th
