,event,code,prizepool,date,location,nteams
442,eleague-season-2-europe-closed-qualifier,2402,TBA,Sep 7th,,16
443,eleague-season-2-europe-open-qualifier-3,2401,TBA,Sep 5th 2016,,0
444,esl-one-new-york-2016-europe-qualifier,2412,TBA,Sep 4th 2016,,8
445,eleague-season-2-europe-open-qualifier-2,2400,TBA,Sep 4th 2016,,0
446,serbian-first-league-s1-lan-finals,2351,"$1,000",Sep 4th 2016,"Belgrade, Serbia",4
447,eswc-2016-bulgaria,2379,"$2,864",Sep 3rd,"Sofia, Bulgaria",4
448,brasil-game-cup-2016,2391,"$6,140",Sep 2nd,"São Paulo, Brazil",4
449,evetech-champions-league-2016,2408,"$10,400",Sep 2nd,"Pretoria, South Africa",6
450,esports-tunisian-cup-2016,2415,IeSF 2016 spot,Sep 2nd,"Tunis, Tunisia",4
451,northern-arena-2016-toronto,2285,"$100,000",Sep 1st,"Toronto, Canada",16
452,wca-season-2-china-finals,2417,"$22,448",Sep 3rd 2016,Beijing,2
453,eleague-season-2-europe-open-qualifier-1,2399,TBA,Sep 3rd 2016,,0
454,pgl-national-division-season-2-finals,2416,"$6,000",Sep 3rd 2016,"Bucharest, Romania",2
455,gg-masters,2315,"$20,000",Jul 14th 2016,Online,16
456,xfunction-masters-2016,1690,"$5,000",Jun 27th 2016,,16
457,extremesland-2016-china-regional-finals,2398,"$7,113",Aug 30th,"Kunshan, China",8
458,global-offensive-champions-league-season-4,2269,"$5,000",Aug 22nd 2016,,16
459,cybergamer-intermediate-season-8-finals,2414,"$1,890",Aug 30th 2016,,4
460,liga-pro-gamersclub-aug-16,2387,$773,Aug 27th,,8
461,cyberpowerpc-summer-2016-pro-series,2357,"$15,000",Aug 27th,Online,8
462,esea-season-22-mdl-global-challenge,2350,"$50,000",Aug 27th,"Katowice, Poland",8
463,wesg-2016-africa-middle-east-regional-finals,2356,"$75,000",Aug 26th,"Dubai, United Arab Emirates",8
464,power-lan-2016,2324,"$26,000",Aug 26th,"Odense, Denmark",8
465,vsl-season-1,2303,"~$6,000",Jul 3rd,"Seoul, Korea",10
466,sl-i-league-s2-americas-qualifier,2364,TBA,Aug 8th 2016,,16
467,sl-i-league-s2-europe-qualifier,2329,TBA,Jul 25th 2016,,20
468,ground-zero-summer-2016,2385,"$2,500",Aug 21st 2016,"Beirut, Lebanon",2
469,dreamhack-zowie-open-bucharest-2016-closed-qualifier,2382,TBA,Aug 21st 2016,Online,16
470,ecs-season-2-eu-development-league-open-qualifier-3,2383,TBA,Aug 21st 2016,Online,16
471,esports-festival-2016,2323,"~$19,500",Aug 21st 2016,Hong Kong,4
472,ttu-e-sport-summer-2016,2381,"$1,700",Aug 20th,Tallinn,4
473,cybergamer-oceania-esports-masters-finals,2320,"$5,600",Aug 20th,"Sydney, Australia",4
474,esl-meisterschaft-summer-2016-finals,2343,"$15,700",Aug 20th 2016,,4
475,esea-open-season-22-asia,2359,$1750,Aug 6th 2016,,16
476,esea-open-season-22-oceania,2366,"$1,750",Aug 10th,,16
477,esea-open-season-22-brazil,2361,$1750,Aug 8th,,16
478,esea-premier-season-22-europe,2353,$5000,Aug 4th 2016,,8
479,esl-pro-league-season-4-north-america-wild-card,2371,TBA,Aug 17th 2016,,2
480,esea-open-season-22-south-africa,2365,$1750,Aug 8th,,8
481,streamme-gauntlet-eu-1,2326,"$5,000",Jul 23rd 2016,Online,8
482,esl-pro-league-season-4-europe-wild-card,2370,TBA,Aug 15th 2016,,2
483,wesg-2016-turkey,2377,TBA,Aug 14th,,4
484,wesg-2016-middle-east,2376,TBA,Aug 14th,,4
485,wesg-2016-north-west-africa,2375,TBA,Aug 14th,,4
486,wesg-2016-south-east-africa,2374,TBA,Aug 14th,,4
487,2016-d-fire-lan-final,2338,TBA,Jul 31st,"Shanghai, China",2
488,esea-premier-season-22-north-america,2352,$5000,Aug 4th 2016,,8
489,ecs-season-2-eu-development-league-open-qualifier-2,2373,TBA,Aug 14th 2016,Online,16
490,gtl-tecnofields-2016,2336,"~2,000",Aug 10th,"Buenos Aires, Argentina",4
491,e-sports-festival-csgo-tournament-closed-qualifier,2344,2 spots for Esports Festival 2016,Aug 2nd,Online,8
492,rog-csgo-hong-kong-tournament,2360,Spot for Esports Festival 2016,Aug 6th,"Hong Kong, Hong Kong",8
493,betway-invitational,2335,"$3,000",Jul 30th,Online,8
494,99damage-league-season-3,2346,"$11,218",Aug 6th,,4
495,ecs-season-2-eu-development-league-open-qualifier-1,2358,1 spot for ECS S2 Developmental League,Aug 6th,Online,16+
496,sl-i-league-s2-china-finals,2337,3 spots for StarSeries S2 Finals,Aug 4th,"Shanghai, China",12
497,world-championships-2016-african-qualifier,2341,TBA,Aug 3rd 2016,,6
498,asus-rog-summer-2016,2314,"$25,000",Aug 5th,"Helsinki, Finland",8
499,peliliiga-esm-2016,2355,$10018,Aug 4th 2016,Helsinki,2
